fare_id,route_id,origin_id,destination_id
1040,40,178_02,144_02
1040,40,178_02,145_02
1040,40,178_02,146_02
1040,40,179_02,140_02
1040,40,179_02,141_02
1040,40,179_02,142_02
1040,40,179_02,143_02
1040,40,179_02,144_02
1040,40,179_02,145_02
1040,40,179_02,146_02
1040,40,181_04,150_02
1040,40,186_02,150_02
1040,40,187_02,150_02
1040,40,190_02,158_02
1040,40,199_01,164_02
1040,40,199_02,164_02
1040,40,2_02,164_02
1040,40,200_01,164_02
1040,40,200_02,164_02
1040,40,201_01,164_02
1040,40,202_02,166_02
1040,40,230_02,150_02
1040,40,231_01,164_02
1040,40,3_02,164_02
1040,40,338_01,150_02
1040,40,4_02,164_02
1040,40,5_02,164_02
1040,40,6_02,164_02
1040,40,7_02,164_02
1040,40,9_02,167_02
1040,402,140_01,178_01
1040,402,140_01,179_01
1040,402,141_01,178_01
1040,402,141_01,179_01
1040,402,142_01,178_01
1040,402,142_01,179_01
1040,402,143_01,178_01
1040,402,143_01,179_01
1040,402,144_01,178_01
1040,402,144_01,179_01
1040,402,145_01,178_01
1040,402,145_01,179_01
1040,402,146_01,178_01
1040,402,146_01,179_01
1040,402,150_01,181_03
1040,402,150_01,186_01
1040,402,150_01,187_01
1040,402,150_01,230_01
1040,402,150_01,338_02
1040,402,158_01,190_01
1040,402,164_01,1_01
1040,402,164_01,1_02
1040,402,164_01,199_01
1040,402,164_01,199_02
1040,402,164_01,2_01
1040,402,164_01,200_01
1040,402,164_01,200_02
1040,402,164_01,201_01
1040,402,164_01,3_01
1040,402,164_01,4_01
1040,402,164_01,5_01
1040,402,164_01,6_01
1040,402,164_01,7_01
1040,402,165_02,118_02
1040,402,165_02,119_02
1040,402,165_02,120_02
1040,402,166_01,202_01
1040,402,167_01,10_01
1040,402,167_01,11_01
1040,402,167_01,9_03
1050,40,12_02,168_02
1050,40,181_04,147_02
1050,40,181_04,148_01
1050,40,181_04,149_02
1050,40,186_02,147_02
1050,40,186_02,148_01
1050,40,186_02,149_02
1050,40,187_02,147_02
1050,40,187_02,148_01
1050,40,187_02,149_02
1050,40,188_02,151_02
1050,40,188_02,152_02
1050,40,188_02,153_02
1050,40,191_02,160_02
1050,40,192_02,160_02
1050,40,195_02,162_02
1050,40,196_02,162_02
1050,40,197_02,162_02
1050,40,203_02,166_02
1050,40,204_02,166_02
1050,40,230_02,147_02
1050,40,230_02,148_01
1050,40,230_02,149_02
1050,40,338_01,147_02
1050,40,338_01,148_01
1050,40,338_01,149_02
1050,402,147_01,181_03
1050,402,147_01,186_01
1050,402,147_01,187_01
1050,402,147_01,230_01
1050,402,147_01,338_02
1050,402,148_01,181_03
1050,402,148_01,186_01
1050,402,148_01,187_01
1050,402,148_01,230_01
1050,402,148_01,338_02
1050,402,149_01,181_03
1050,402,149_01,186_01
1050,402,149_01,187_01
1050,402,149_01,230_01
1050,402,149_01,338_02
1050,402,151_01,188_01
1050,402,152_01,188_01
1050,402,153_01,188_01
1050,402,160_01,191_01
1050,402,160_01,192_01
1050,402,162_01,195_01
1050,402,162_01,196_01
1050,402,162_01,197_01
1050,402,166_01,203_01
1050,402,166_01,204_01
1050,402,168_01,12_03
1060,40,10_02,166_02
1060,40,11_02,166_02
1060,40,118_01,164_02
1060,40,119_01,164_02
1060,40,120_01,164_02
1060,40,180_02,140_02
1060,40,180_02,141_02
1060,40,180_02,142_02
1060,40,180_02,143_02
1060,40,180_02,144_02
1060,40,180_02,145_02
1060,40,180_02,146_02
1060,40,181_02,140_02
1060,40,181_02,141_02
1060,40,181_02,142_02
1060,40,181_02,143_02
1060,40,181_02,144_02
1060,40,181_02,145_02
1060,40,181_02,146_02
1060,40,182_02,140_02
1060,40,182_02,141_02
1060,40,182_02,142_02
1060,40,182_02,143_02
1060,40,182_02,144_02
1060,40,182_02,145_02
1060,40,182_02,146_02
1060,40,183_02,140_02
1060,40,183_02,141_02
1060,40,183_02,142_02
1060,40,183_02,143_02
1060,40,183_02,144_02
1060,40,183_02,145_02
1060,40,183_02,146_02
1060,40,184_02,140_02
1060,40,184_02,141_02
1060,40,184_02,142_02
1060,40,184_02,143_02
1060,40,184_02,144_02
1060,40,184_02,145_02
1060,40,184_02,146_02
1060,40,185_02,140_02
1060,40,185_02,141_02
1060,40,185_02,142_02
1060,40,185_02,143_02
1060,40,185_02,144_02
1060,40,185_02,145_02
1060,40,185_02,146_02
1060,40,9_02,166_02
1060,402,140_01,180_01
1060,402,140_01,181_01
1060,402,140_01,182_01
1060,402,140_01,183_01
1060,402,140_01,184_01
1060,402,140_01,185_01
1060,402,141_01,180_01
1060,402,141_01,181_01
1060,402,141_01,182_01
1060,402,141_01,183_01
1060,402,141_01,184_01
1060,402,141_01,185_01
1060,402,142_01,180_01
1060,402,142_01,181_01
1060,402,142_01,182_01
1060,402,142_01,183_01
1060,402,142_01,184_01
1060,402,142_01,185_01
1060,402,143_01,180_01
1060,402,143_01,181_01
1060,402,143_01,182_01
1060,402,143_01,183_01
1060,402,143_01,184_01
1060,402,143_01,185_01
1060,402,144_01,180_01
1060,402,144_01,181_01
1060,402,144_01,182_01
1060,402,144_01,183_01
1060,402,144_01,184_01
1060,402,144_01,185_01
1060,402,145_01,180_01
1060,402,145_01,181_01
1060,402,145_01,182_01
1060,402,145_01,183_01
1060,402,145_01,184_01
1060,402,145_01,185_01
1060,402,146_01,180_01
1060,402,146_01,181_01
1060,402,146_01,182_01
1060,402,146_01,183_01
1060,402,146_01,184_01
1060,402,146_01,185_01
1060,402,164_01,118_02
1060,402,164_01,119_02
1060,402,164_01,120_02
1060,402,166_01,10_01
1060,402,166_01,11_01
1060,402,166_01,9_03
1070,1,12_02,167_02
1070,102,167_01,12_03
1070,40,12_02,167_02
1070,40,173_02,138_01
1070,40,173_02,139_02
1070,40,189_02,154_02
1070,40,189_02,155_02
1070,40,189_02,156_01
1070,40,189_02,157_02
1070,40,191_02,159_02
1070,40,192_02,159_02
1070,40,193_02,161_01
1070,40,194_02,161_01
1070,40,198_02,163_02
1070,402,138_01,173_01
1070,402,139_01,173_01
1070,402,154_01,189_01
1070,402,155_01,189_01
1070,402,156_01,189_01
1070,402,157_01,189_01
1070,402,159_01,191_01
1070,402,159_01,192_01
1070,402,161_01,193_01
1070,402,161_01,194_01
1070,402,163_02,198_01
1070,402,167_01,12_03
