stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,platform_code
93_01,,三農校前,,40.636966,141.26705,93_01,,0,
93_02,,三農校前,,40.636794,141.266499,93_02,,0,
94_01,,古里,,40.638847,141.284277,94_01,,0,
94_02,,古里,,40.638755,141.284317,94_02,,0,
95_01,,堀切,,40.639922,141.295476,95_01,,0,
95_02,,堀切,,40.639853,141.295483,95_02,,0,
96_01,,七百,,40.640751,141.303321,96_01,,0,
96_02,,七百,,40.64071,141.303428,96_02,,0,
97_01,,根古橋,,40.642849,141.318977,97_01,,0,
97_02,,根古橋,,40.64279,141.318593,97_02,,0,
98_01,,たての台団地入口,,40.642679,141.322317,98_01,,0,
98_02,,たての台団地入口,,40.642626,141.32232,98_02,,0,
99_01,,柳沢,,40.642481,141.326143,99_01,,0,
99_02,,柳沢,,40.642118,141.325611,99_02,,0,
99_03,,柳沢,,40.642441,141.325831,99_03,,0,
