stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,platform_code
501_01,,雇用促進住宅前,,40.674035,141.37895,501_01,,0,
501_02,,雇用促進住宅前,,40.674043,141.379127,501_02,,0,
502_01,,木崎野小前,,40.674983,141.378617,502_01,,0,
502_02,,木崎野小前,,40.675101,141.37858,502_02,,0,
503_01,,松園公園前,,40.676781,141.372646,503_01,,0,
503_02,,松園公園前,,40.6767,141.372743,503_02,,0,
504_01,,Ｂバリ通り,,40.681667,141.374025,504_01,,0,
504_02,,Ｂバリ通り,,40.681541,141.374106,504_02,,0,
505_01,,淋代,,40.726201,141.414312,505_01,,0,
505_02,,淋代,,40.726213,141.414419,505_02,,0,
506_01,,淋代局前,,40.730356,141.412906,506_01,,0,
506_02,,淋代局前,,40.730365,141.413024,506_02,,0,
507_01,,淋代海岸,,40.735976,141.410806,507_01,,0,
507_02,,淋代海岸,,40.735927,141.410967,507_02,,0,
508_01,,細谷,,40.756849,141.406928,508_01,,0,
508_02,,細谷,,40.756865,141.407099,508_02,,0,
509_01,,南六川目,,40.764756,141.405538,509_01,,0,
509_02,,南六川目,,40.764797,141.405689,509_02,,0,
51_01,,陸上自衛隊前,,40.555856,141.449425,51_01,,0,
51_02,,陸上自衛隊前,,40.554799,141.448443,51_02,,0,
510_01,,六川目,,40.768213,141.40494,510_01,,0,
510_02,,六川目,,40.768213,141.405176,510_02,,0,
511_01,,北六川目,,40.773006,141.403771,511_01,,0,
511_02,,北六川目,,40.772985,141.404018,511_02,,0,
512_01,,はまなす団体活動センター前,,40.777673,141.402387,512_01,,0,
512_02,,はまなす団体活動センター前,,40.777689,141.402612,512_02,,0,
513_01,,新森入口,,40.782495,141.400552,513_01,,0,
513_02,,新森入口,,40.782702,141.40074,513_02,,0,
514_01,,新森一丁目,,40.782978,141.391122,514_01,,0,
515_01,,新森集会施設前,,40.783993,141.390896,515_01,,0,
516_01,,新森二丁目,,40.784371,141.38919,516_01,,0,
517_01,,織笠,,40.789381,141.399911,517_01,,0,
517_02,,織笠,,40.789397,141.400104,517_02,,0,
518_01,,北織笠,,40.793053,141.399632,518_01,,0,
518_02,,北織笠,,40.793037,141.399782,518_02,,0,
519_01,,南塩釜,,40.798145,141.398436,519_01,,0,
519_02,,南塩釜,,40.798137,141.398608,519_02,,0,
52_01,,松ヶ丘,,40.551237,141.451275,52_01,,0,
52_02,,松ヶ丘,,40.550646,141.451039,52_02,,0,
520_01,,塩釜,,40.80271,141.397642,520_01,,0,
520_02,,塩釜,,40.802824,141.39776,520_02,,0,
521_01,,砂森入口,,40.827368,141.390749,521_01,,0,
521_02,,砂森入口,,40.827303,141.390963,521_02,,0,
522_01,,天ヶ森入口,,40.845892,141.382316,522_01,,0,
522_02,,天ヶ森入口,,40.845973,141.382359,522_02,,0,
523_01,,公営住宅前,,40.845413,141.370756,523_01,,0,
523_02,,公営住宅前,,40.845502,141.370756,523_02,,0,
